Time,Average Wealth,Gini Coefficient,Average Competence
1,55.278140634844,0.06324534210472621,41.41676901024851
2,60.278140634844,0.16340619435912984,52.86612191847398
3,65.27814063484401,0.06944067070922884,59.32168839603355
4,70.27814063484401,0.14281205963320404,63.561072635810625
5,75.278140634844,0.07739274754088016,66.57754910948333
6,80.278140634844,0.12576377601849317,68.83545708956014
7,85.27814063484401,0.05854977302748665,70.5860609226458
8,90.27814063484398,0.1770657342206772,71.9789133634625
9,95.27814063484398,0.06026799809683126,73.10928496431853
10,100.27814063484398,0.08825257703950314,74.04105996159873
11,105.27814063484396,0.08588732499448255,74.81883654873522
12,110.27814063484398,0.08558128234154609,75.47477927860669
13,115.27814063484398,0.10531854080065926,76.03271796617088
14,120.27814063484396,0.08661766395495504,76.51071136757778
15,125.27814063484398,0.11729467459314918,76.92271130962364
16,130.278140634844,0.0804412002854086,77.27967742814016
17,135.278140634844,0.13386257771822316,77.59034435388286
18,140.278140634844,0.056998936085250876,77.86176227102678
19,145.27814063484402,0.18509191494649244,78.09968575076938
20,150.278140634844,0.09292545347576123,78.30885862351244
21,155.27814063484402,0.11124996106545539,78.49322613665811
22,160.27814063484405,0.06783355886612355,78.65609530971251
23,165.27814063484402,0.17254753142541035,78.80025776885046
24,170.27814063484402,0.07251698952549461,78.92808499528742
25,175.27814063484405,0.15845599441832775,79.04160301287466
26,180.278140634844,0.0913780932096266,79.14255155854227
27,185.2781406348441,0.11183701867524931,79.23243140663259
28,190.27814063484405,0.08327932425239509,79.31254255308868
29,195.27814063484405,0.1430471062189143,79.38401527745785
30,200.27814063484402,0.055832348933269174,79.44783560390285
31,205.27814063484414,0.17360357666984313,79.50486631948046
32,210.27814063484414,0.09058437213394256,79.55586443988196
33,215.27814063484405,0.11777872029878182,79.6014958128153
