Time Step,Tokens type 1,Tokens type 2,SF,AF,SI,AI,SS,AS,R,S,IN,V,A,C,AL
1,48.78401261076239,32.44928275456852,10546.304301635972,81.23329536533092,0.9976255112797382,-0.0023744887202618026,99.00237448872026,0.9976255112797382,0.7643661066722732,0.00995256660756159,0.0,0.0,0.0,4.422195659077238,0
2,58.32881880439611,41.82282370457621,11327.38595449233,100.15164250897232,0.998753133907701,-0.0012468660922989594,99.0012468660923,0.998753133907701,0.8764061518839638,0.009975078224904541,0.0,0.0,0.0,5.169602919978185,0
3,65.89208949760553,48.41750080038053,12113.228006703317,114.30959029798606,0.9993423895209749,-0.000657610479025128,99.00065761047902,0.9993423895209749,0.9348537217012481,0.009986852114934917,0.0,0.0,0.0,6.111623237606265,0
4,72.33777416857563,53.44489868241415,12901.754924150307,125.78267285098978,0.9996517758130242,-0.0003482241869757763,99.00034822418698,0.9996517758130242,0.9655137965592414,0.00999303672886133,0.0,0.0,0.0,6.467714500884201,0
5,78.15314032300279,57.58835108788114,13691.796105590422,135.74149141088392,0.9998149341007134,-0.0001850658992865739,99.00018506589929,0.9998149341007134,0.981675084653694,0.009996299024508139,0.0,0.0,0.0,6.661671103584111,0
6,83.61300683409969,61.233258244564524,14482.691331922639,144.8462650786642,0.9999013228371305,-9.867716286948713e-05,99.00009867716287,0.9999013228371305,0.9902299967997223,0.009998026554114435,0.0,0.0,0.0,6.765375307980222,0
7,88.87237154635835,64.59698588093396,15274.068239574019,153.46935742729232,0.9999472296096836,-5.27703903163701e-05,99.00005277039031,0.9999472296096836,0.9947754556574376,0.009998944620040815,0.0,0.0,0.0,6.8178758008462665,0
8,94.01865324407223,67.80212826784631,16065.716815489386,161.82078151191854,0.999971704066285,-2.8295933715005717e-05,99.00002829593372,0.999971704066285,0.9971986232946487,0.009999434089332298,0.0,0.0,0.0,6.843329128227128,0
9,99.10115612158279,70.91782857406491,16857.518612305652,170.0189846956477,0.9999847906871551,-1.5209312844932654e-05,99.00001520931285,0.9999847906871551,0.9984942551269981,0.009999695816056333,0.0,0.0,0.0,6.855320235063504,0
10,104.14768774449877,73.98308354677219,17649.406825710023,178.13077129127095,0.9999918068250014,-8.19317499856087e-06,99.00000819317499,0.9999918068250014,0.9991888690294151,0.00999983613717131,0.0,0.0,0.0,6.860865394670105,0
11,109.17393157982339,77.01988735137911,18441.343778070095,186.1938189312025,0.9999955774893743,-4.422510625712306e-06,99.00000442251063,0.9999955774893743,0.9995621695117467,0.009999911549983071,0.0,0.0,0.0,6.86339743307571,0
12,114.18873310294651,80.04064469717743,19233.308219201193,194.22937780012393,0.999997608410921,-2.3915890789982797e-06,99.00000239158908,0.999997608410921,0.9997632321149317,0.009999952168275617,0.0,0.0,0.0,6.864542405350799,0
13,119.19708116198797,83.05235184020766,20025.288163999117,202.24943300219564,0.999998704489663,-1.2955103370071441e-06,99.00000129551033,0.999998704489663,0.9998717443104823,0.009999974089810043,0.0,0.0,0.0,6.865055694712796,0
14,124.20178946728731,86.05895466887668,20817.276852865136,210.260744136164,0.9999992971302659,-7.028697340816237e-07,99.00000070286974,0.9999992971302659,0.9999304158474024,0.009999985942610258,0.0,0.0,0.0,6.865283809425219,0
15,129.2044449514762,89.06267866424602,21609.270473385594,218.26712361572223,0.9999996181104632,-3.818895367713182e-07,99.00000038188954,0.9999996181104632,0.9999621929214222,0.009999992362210722,0.0,0.0,0.0,6.865384223986824,0
16,134.20594264455875,92.06477899763435,22401.266875359128,226.2707216421931,0.9999997922292588,-2.0777074116740124e-07,99.00000020777074,0.9999997922292588,0.9999794306923582,0.009999995844585607,0.0,0.0,0.0,6.865427936421875,0
17,139.20678734345728,95.06596358566536,23193.264846072194,234.27275092912265,0.9999998868188282,-1.1318117176806197e-07,99.00000011318117,0.9999998868188282,0.9999887950627349,0.009999997736376694,0.0,0.0,0.0,6.865446708991318,0
18,144.207263753636,98.06663169331483,23985.263701554362,242.27389544695083,0.9999999382736382,-6.172636179968549e-08,99.00000006172637,0.9999999382736382,0.9999938890898162,0.009999998765472801,0.0,0.0,0.0,6.865454633669659,0
19,149.20753244897688,101.06700850602911,24777.26305604631,250.274540955006,0.9999999662991426,-3.370085743803486e-08,99.00000003370086,0.9999999662991426,0.9999966636150123,0.009999999325982863,0.0,0.0,0.0,6.865457903949803,0
20,154.20768399314903,104.06722102839996,25569.262691979744,258.274905021549,0.999999981581461,-1.8418539027287295e-08,99.00000001841853,0.999999981581461,0.9999981765645982,0.009999999631629222,0.0,0.0,0.0,6.865459211605823,0
